subset,primary_keys,primary_key_value,source_snapshot_id,conflict_type,rows_in_conflict
snapshots,snapshot_timestamp_utc,2026-02-03 16:53:58.233960+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 17:53:58.231924+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 18:53:58.281994+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 19:53:58.275595+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 20:53:58.250876+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 21:53:58.220363+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 22:53:58.251412+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 23:53:58.272794+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 00:53:58.319437+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 01:53:58.304050+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 02:53:58.321437+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 03:54:07.407727+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 04:54:07.501534+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 05:53:58.374979+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 06:53:58.316993+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 07:53:58.325606+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 08:53:58.713046+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 09:53:58.443635+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 10:53:58.315528+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 11:53:58.366850+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 12:53:58.328817+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 13:53:58.364721+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 14:53:58.809382+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 15:53:58.334691+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 16:53:58.355713+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 17:53:58.453000+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 18:53:58.500019+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 19:53:58.369783+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 20:53:58.389636+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 21:53:58.797837+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 22:53:58.396535+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-04 23:53:58.343486+00:00,2026-02-04,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 00:53:58.492243+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 01:53:58.378431+00:00,2026-02-05,same_snapshot_conflict,2
